"listing_id","title","brand","condition","year","price_million_vnd","location","origin","color","fuel","engine_litre","transmission","seats","mileage_km","source_url"
"6971000","Ford Fiesta 1.4 MT - 2011","Ford","cũ","2011","170","TP HCM","lắp ráp trong nước","bạc","xăng","1.4","tay","5","100000","https://bonbanh.com/oto/generic"
"6970998","Ford Ranger XLS 2.2L 4x2 AT - 2014","Ford","cũ","2014","265","Đồng Nai","nhập khẩu","xanh","dầu","2.2","tự động","5",,"https://bonbanh.com/oto/generic"
"6970983","Ford Everest 2.5L 4x2 MT - 2010","Ford","cũ","2010","220","Đồng Nai","lắp ráp trong nước","cát","dầu","2.5","tay","7",,"https://bonbanh.com/oto/generic"
"6970969","Nissan Almera 1.0 MT - 2021","Nissan","cũ","2021","299","TP HCM","nhập khẩu","trắng","xăng","1","tay","5","73000","https://bonbanh.com/oto/nissan"
"6970967","BMW 7 Series 730Li - 2016","BMW","cũ","2016","1199","TP HCM","nhập khẩu","đen","xăng","2","tự động","5","70000","https://bonbanh.com/oto/generic"
"6970957","Kia Carnival Signature 2.2D - 2021","Kia","cũ","2021","960","TP HCM","lắp ráp trong nước","trắng","dầu","2.2","tự động","7","49000","https://bonbanh.com/oto/generic"
"6970950","Toyota Vios 1.5G - 2009","Toyota","cũ","2009","195","TP HCM","lắp ráp trong nước","bạc","xăng","1.5","tự động","5","100000","https://bonbanh.com/oto/generic"
"6970947","Mercedes Benz GLS 450 4Matic - 2022","Mercedes","cũ","2022","3879","Hà Nội","nhập khẩu","đen","xăng","3","tự động","7","38000","https://bonbanh.com/oto/generic"
"6970941","Mercedes Benz GLS 480 4Matic Maybach - 2022","Mercedes Benz","cũ","2022","6299","Hà Nội","nhập khẩu","đen","xăng","3","tự động","4","22000","https://bonbanh.com/oto/mercedes_benz"
"6970938","Chevrolet Cruze LTZ 1.8 AT - 2013","Chevrolet","cũ","2013","210","TP HCM","lắp ráp trong nước","đỏ","xăng","1.8","tự động","5","80000","https://bonbanh.com/oto/generic"
